class,filename,label
train,51_6_3-16,neutral
train,90_4_1-12,neutral
train,53_6_3-10,neutral
train,75_2_1-20,neutral
train,22_4_2-20,neutral
train,60_2_1-18,neutral
train,103_3_1-12,neutral
train,95_2_1-14,neutral
train,62_1_2-0,neutral
train,95_2_1-20,neutral
train,91_4_1-16,neutral
train,73_4_2-12,neutral
train,101_6_3-18,neutral
train,09_2_1-2,neutral
train,64_3_1-10,neutral
train,26_4_1-10,neutral
train,80_2_1-2,neutral
train,100_3_1-6,neutral
train,10_6_3-20,neutral
train,16_3_1-18,neutral
train,23_6_1-12,neutral
train,73_3_2-2,neutral
train,59_6_3-4,neutral
train,55_2_1-8,neutral
train,85_2_1-6,neutral
train,53_6_1-16,neutral
train,55_2_1-2,neutral
train,75_6_1-10,neutral
train,97_1_1-16,neutral
train,26_3_1-2,neutral
train,56_6_1-10,neutral
train,67_3_1-16,neutral
train,34_3_2-20,neutral
train,103_3_2-20,neutral
train,82_1_1-14,neutral
train,103_3_2-0,neutral
train,20_2_2-6,neutral
train,27_1_2-4,neutral
train,62_1_1-10,neutral
train,103_1_2-0,neutral
train,104_4_2-14,neutral
train,61_6_1-4,neutral
train,104_1_1-14,neutral
train,55_2_1-14,neutral
train,23_6_1-20,neutral
train,76_1_2-4,neutral
train,51_6_1-4,neutral
train,34_2_2-10,neutral
train,79_3_2-20,neutral
train,85_1_2-6,neutral
train,61_1_1-14,neutral
train,39_6_1-20,neutral
train,53_4_1-16,neutral
train,94_4_2-2,neutral
train,71_4_3-6,neutral
train,102_3_1-4,neutral
train,100_6_4-6,neutral
train,72_6_2-0,neutral
train,38_4_2-4,neutral
train,16_3_2-18,neutral
train,81_2_1-2,neutral
train,70_1_2-10,neutral
train,61_3_2-6,neutral
train,35_1_1-12,neutral
train,98_4_3-12,neutral
train,28_1_2-12,neutral
train,24_4_1-18,neutral
train,84_6_2-20,neutral
train,90_4_1-10,neutral
train,81_2_3-0,neutral
train,79_1_1-18,neutral
train,90_3_2-18,neutral
train,27_6_1-20,neutral
train,38_4_1-12,neutral
train,32_3_1-20,neutral
train,95_2_2-12,neutral
train,64_2_1-10,neutral
train,36_4_2-20,neutral
train,20_1_2-14,neutral
train,100_3_2-8,neutral
train,59_1_2-8,neutral
train,39_4_1-18,neutral
train,23_3_1-10,neutral
train,89_3_1-6,neutral
train,100_2_1-12,neutral
train,61_6_1-20,neutral
train,86_3_2-2,neutral
train,70_2_1-2,neutral
train,106_3_2-4,neutral
train,62_1_2-12,neutral
train,10_2_1-16,neutral
train,71_6_1-14,neutral
train,39_4_3-16,neutral
train,75_4_1-2,neutral
train,20_3_1-14,neutral
train,61_2_2-0,neutral
train,107_2_1-12,neutral
train,35_1_1-14,neutral
train,37_1_3-6,neutral
train,34_4_1-18,neutral
train,105_4_1-14,neutral
train,98_4_2-16,neutral
train,53_1_3-14,neutral
train,100_6_1-12,neutral
train,100_4_2-8,neutral
train,106_2_1-20,neutral
train,22_6_1-0,neutral
train,16_3_2-16,neutral
train,80_3_1-2,neutral
train,103_3_3-0,neutral
train,95_4_2-8,neutral
train,56_3_2-12,neutral
train,23_1_1-4,neutral
train,56_1_1-2,neutral
train,34_6_1-4,neutral
train,51_2_1-0,neutral
train,09_2_5-14,neutral
train,81_1_2-20,neutral
train,34_2_1-6,neutral
train,61_1_2-10,neutral
train,34_6_3-20,neutral
train,22_6_1-20,neutral
train,57_3_1-10,neutral
train,57_6_3-4,neutral
train,73_4_1-14,neutral
train,94_3_2-6,neutral
train,34_2_1-2,neutral
train,84_2_1-10,neutral
train,87_6_3-0,neutral
train,106_6_2-18,neutral
train,106_1_1-14,neutral
train,58_2_1-8,neutral
train,09_3_2-4,neutral
train,61_2_2-12,neutral
train,59_4_3-14,neutral
train,36_4_1-18,neutral
train,87_2_1-16,neutral
train,66_1_1-18,neutral
train,64_1_2-2,neutral
train,76_3_1-16,neutral
train,75_3_1-20,neutral
train,23_3_1-14,neutral
train,81_1_6-4,neutral
train,90_4_1-16,neutral
train,80_1_1-16,neutral
train,62_6_1-14,neutral
train,56_6_1-12,neutral
train,92_1_1-10,neutral
train,57_2_1-12,neutral
train,89_3_1-8,neutral
train,79_2_1-2,neutral
train,105_1_2-8,neutral
train,37_3_1-10,neutral
train,72_2_1-12,neutral
train,106_3_1-14,neutral
train,90_3_1-20,neutral
train,103_3_1-6,neutral
train,39_4_3-18,neutral
train,94_4_3-10,neutral
train,104_3_1-10,neutral
train,98_4_1-12,neutral
train,83_6_1-8,neutral
train,09_1_2-10,neutral
train,67_3_1-2,neutral
train,69_4_1-14,neutral
train,99_6_3-16,neutral
train,83_6_1-2,neutral
train,38_6_2-6,neutral
train,93_4_2-6,neutral
train,94_4_3-8,neutral
train,107_6_1-10,neutral
train,75_6_2-20,neutral
train,32_4_1-12,neutral
train,67_4_1-12,neutral
train,97_3_1-14,neutral
train,39_6_1-6,neutral
train,83_6_3-4,neutral
train,81_2_1-18,neutral
train,51_2_1-16,neutral
train,86_3_1-14,neutral
train,53_2_1-0,neutral
train,59_4_3-16,neutral
train,23_3_1-16,neutral
train,36_6_1-2,neutral
train,97_3_1-6,neutral
train,71_3_1-2,neutral
train,99_3_2-10,neutral
train,55_2_1-12,neutral
train,100_3_1-0,neutral
train,38_6_1-16,neutral
